Recclass,Mass,Normalized,Final
R3/4,161,12.70039369,3.563761173
R4,"7,954",89.18643395,9.443856942
R4/5,184,13.56465997,3.68302321
R5,"2,297",47.92327201,6.92266365
R6,281,16.7487313,4.092521386
Stone-uncl,"322,516",567.9047896,23.83075302
Stone-ung,1,0.793725393,0.890912674
Ureilite,"108,965",330.0978188,18.1685943
Ureilite-an,"5,149",71.75304872,8.470717131
Ureilite-pmict,"5,477",74.00662133,8.602710115
Winonaite,"27,439",165.6463099,12.87036557
